Player,Team,Pos,Injury,Status
Deandre Ayton,POR,C,Calf,Out
Lonzo Ball,CHI,G,Wrist,Game Time Decision
LaMelo Ball,CHA,G,Ankle,Out For Season
Charles Bassey,SAS,C,Knee,Game Time Decision
Damion Baugh,CHA,G,Hip,Out
Saddiq Bey,WAS,F,Knee,Out
Brandon Boston,NOP,F,Ankle,Out
Christian Braun,DEN,G,Foot,Game Time Decision
Malcolm Brogdon,WAS,G,Ankle,Out
Dillon Brooks,HOU,F,Suspension,Out
Jaylen Brown,BOS,F,Knee,Game Time Decision
Jalen Brunson,NYK,G,Ankle,Game Time Decision
Kobe Bufkin,ATL,G,Shoulder,Out For Season
Clint Capela,ATL,C,Hand,Out
Jevon Carter,CHI,G,Shoulder,Game Time Decision
Devin Carter,SAC,G,Shoulder,Game Time Decision
Ulrich Chomche,TOR,C,Knee,Out For Season
Sidy Cissoko,POR,G,Ankle,Out
Brandon Clarke,MEM,C,Knee,Out For Season
Jordan Clarkson,UTA,G,Foot,Out For Season
Noah Clowney,BKN,F,Ankle,Out For Season
Amir Coffey,LAC,F,Knee,Out
John Collins,UTA,F,Ankle,Out
Bilal Coulibaly,WAS,F,Hamstring,Out
Cade Cunningham,DET,G,Calf,Game Time Decision
Seth Curry,CHA,G,Back,Game Time Decision
Gradey Dick,TOR,F,Knee,Out
Ousmane Dieng,OKC,F,Calf,Game Time Decision
Ayo Dosunmu,CHI,G,Shoulder,Out For Season
Andre Drummond,PHI,C,Toe,Out
Alex Ducas,OKC,G,Quadriceps,Game Time Decision
Kevin Durant,PHX,F,Ankle,Out
Joel Embiid,PHI,C,Knee,Out For Season
Dante Exum,DAL,G,Hand,Out
De'Aaron Fox,SAS,G,Finger,Out For Season
Paul George,PHI,F,Groin,Out For Season
Kyshawn George,WAS,F,Ankle,Out
Eric Gordon,PHI,G,Wrist,Out For Season
Aaron Gordon,DEN,F,Calf,Game Time Decision
Jerami Grant,POR,F,Knee,Out
Josh Green,CHA,F,Shoulder,Out
Elijah Harkless,UTA,G,Groin,Game Time Decision
Tobias Harris,DET,F,Achilles,Out
Jordan Hawkins,NOP,G,Back,Game Time Decision
Scoot Henderson,POR,G,Concussion,Out
Taylor Hendricks,UTA,F,Lower Leg,Out For Season
Haywood Highsmith,MIA,F,Achilles,Game Time Decision
DaRon Holmes,DEN,C,Achilles,Out For Season
Richaun Holmes,WAS,C,Shoulder,Out
Ariel Hukporti,NYK,C,Knee,Out
Brandon Ingram,TOR,F,Ankle,Out
Kyrie Irving,DAL,G,Knee,Out For Season
Jaden Ivey,DET,G,Lower Leg,Out
Isaiah Jackson,IND,C,Achilles,Out For Season
LeBron James,LAL,F,Groin,Game Time Decision
Ty Jerome,CLE,G,Knee,Game Time Decision
Cameron Johnson,BKN,F,Back,Out
Jalen Johnson,ATL,F,Shoulder,Out For Season
Keldon Johnson,SAS,F,Back,Game Time Decision
Nikola Jokic,DEN,C,Ankle,Game Time Decision
Tre Jones,CHI,G,Foot,Out
Herbert Jones,NOP,F,Shoulder,Out For Season
Nikola Jovic,MIA,F,Hand,Out
Walker Kessler,UTA,C,Concussion,Out
Corey Kispert,WAS,F,Thumb,Out For Season
Maxi Kleber,LAL,C,Foot,Out
Jonathan Kuminga,GSW,F,Pelvis,Game Time Decision
Jake LaRavia,SAC,F,Thumb,Out
Damian Lillard,MIL,G,Calf,Out
Kevin Love,MIA,C,Personal,Out
Kyle Lowry,PHI,G,Hip,Out
Seth Lundy,LAC,G,Ankle,Game Time Decision
Tre Mann,CHA,G,Back,Out For Season
Lauri Markkanen,UTA,F,Knee,Out
Bennedict Mathurin,IND,F,Calf,Game Time Decision
Tyrese Maxey,PHI,G,Finger,Out For Season
Miles McBride,NYK,G,Groin,Game Time Decision
Jared McCain,PHI,G,Knee,Out For Season
CJ McCollum,NOP,G,Foot,Out For Season
Bryce McGowens,POR,G,Ribs,Out For Season
De'Anthony Melton,BKN,G,Knee,Out For Season
Khris Middleton,WAS,F,Knee,Out
Brandon Miller,CHA,F,Wrist,Out For Season
Jordan Miller,LAC,G,Hamstring,Game Time Decision
Riley Minix,SAS,F,Shoulder,Out For Season
Ajay Mitchell,OKC,G,Toe,Game Time Decision
Trey Murphy,NOP,F,Shoulder,Out For Season
Dejounte Murray,NOP,G,Achilles,Out For Season
Jamal Murray,DEN,G,Hamstring,Game Time Decision
Larry Nance,ATL,C,Knee,Out For Season
Aaron Nesmith,IND,F,Ankle,Game Time Decision
Kelly Oubre,PHI,F,Knee,Out
Cameron Payne,NYK,G,Ankle,Game Time Decision
Gary Payton,GSW,G,Thumb,Out
Julian Phillips,CHI,F,Quadriceps,Game Time Decision
Jakob Poeltl,TOR,C,Rest,Out
Jordan Poole,WAS,G,Elbow,Out
Bobby Portis,MIL,F,Suspension,Out
Olivier-Maxence Prosper,DAL,F,Wrist,Out For Season
Zyon Pullin,MEM,G,Knee,Out
Immanuel Quickley,TOR,G,Rest,Out
Mitchell Robinson,NYK,C,Ankle,Game Time Decision
Terry Rozier,MIA,G,Illness,Out
Terrence Shannon,MIN,F,Groin,Out
Day'Ron Sharpe,BKN,C,Knee,Out
Anfernee Simons,POR,G,Forearm,Out
Jericho Sims,MIL,C,Thumb,Out
Dru Smith,MIA,G,Achilles,Out For Season
Nick Smith,CHA,G,Ankle,Game Time Decision
Jeremy Sochan,SAS,F,Back,Out
Isaiah Stewart,DET,F,Suspension,Out
Julian Strawther,DEN,F,Knee,Game Time Decision
Jalen Suggs,ORL,G,Knee,Out For Season
Dalen Terry,CHI,F,Calf,Game Time Decision
Cam Thomas,BKN,G,Hamstring,Out For Season
Nikola Topic,OKC,G,Knee,Out For Season
Jacob Toppin,ATL,F,Calf,Game Time Decision
